function,laughable_type,laugher_role,event_initiator,event_focus,trigger_event,laughter_action,lexical_anchor
Show enjoyment of incongruity,Pleasant incongruity (incongruity branch),either,either / shared situation,A humorous mismatch between an utterance or event and shared background knowledge or expectations.,"A recognizable clash with what would normally be expected becomes available and is construable as witty, rewarding, or pleasantly funny.","Display appreciation and enjoyment of the incongruity, potentially inviting shared amusement.",Optional: wording or a described event that makes the humorous mismatch recoverable.
Marking incongruity,Pleasant incongruity (incongruity branch),either,either / shared situation,A mismatch in what has been said or described relative to shared expectations.,An utterance or described situation contains a recognizable incongruity that can be pointed out.,"Meta-communicatively flag the incongruity and add the laugher's stance toward it, without necessarily displaying enjoyment.",Usually context-level: wording or described content that makes the mismatch identifiable; no special phrase is required.
Softening / trouble-telling,Social incongruity (incongruity branch),producer,self / laugher,"The speaker's own socially delicate contribution, such as criticism, dissent, refusal, an inconvenient answer, or painful self-disclosure.",The speaker produces an utterance that carries interpersonal or face cost.,"Reduce the force, seriousness, or intrusiveness of the delicate contribution and help manage the uneasiness around it.","Action-level: the turn must actually contain the delicate act, such as mild fault-finding, disagreement, refusal, inconvenient information, or trouble-telling."
Benevolence induction,Social incongruity (incongruity branch),producer,self / laugher,"The speaker's own request, suggestion, opinion, favor, or other contribution that is exposed to evaluation, disagreement, or refusal.","The speaker makes a contribution for which friendly agreement, leniency, or non-harsh evaluation is interactionally relevant.","Solicit goodwill, agreement, friendliness, or leniency from the interlocutor and discourage harsh evaluation of the contribution.","Action-level: a request, suggestion, opinion, favor, admission, or similarly evaluable contribution; no particular word is required."
Smoothing,Social incongruity (incongruity branch),either,either / interaction,Mild social or conversational awkwardness in the interaction itself.,"Embarrassment, a socially awkward moment, or an unexpected conversational response creates potential discomfort or disrupts the expected flow.",Minimize the awkwardness and help the conversation continue smoothly.,None required: the relevant cue may come from the interactional situation rather than a particular expression.
Show sympathy,Social incongruity (incongruity branch),recipient,partner,"The partner's socially uncomfortable, face-sensitive, or vulnerable contribution.","The partner displays social discomfort or produces a socially incongruous act, such as softening, benevolence induction, smoothing, or another vulnerable contribution.","Show understanding of the partner's discomfort, display closeness, and reassure the partner that they are not being judged harshly.",None required: the laughter responds to the partner's social display or discomfort.
Marking irony,Pragmatic incongruity (incongruity branch),producer,self / laugher,The speaker's own proposition or evaluative stance whose literal interpretation differs from the intended ironic meaning.,"The speaker produces, or is about to produce, wording whose literal reading conflicts with the contextually intended stance.","Signal that the utterance should not be taken literally but interpreted ironically, indirectly conveying or masking the speaker's real opinion.",Required: an expression or proposition whose literal interpretation can plausibly contrast with the intended stance.
Scare-quoting / invite enrichment,Pragmatic incongruity (incongruity branch),producer,self / laugher,A particular word or phrase whose standard interpretation is not quite the locally intended one.,"The speaker uses an expression for which the context supports a richer, loosened, narrowed, or otherwise nonstandard interpretation.",Flag the expression as requiring enrichment or reinterpretation beyond its most standard meaning.,Required: a specific word or phrase that can support both a standard interpretation and a contextually enriched one.
Lexical uncertainty / editing phrase,Pragmatic incongruity (incongruity branch),producer,self / laugher,The speaker's own wording or formulation rather than the external event being described.,"The speaker treats a just-produced word or phrase as imprecise, excessive, ambiguous, or otherwise in need of reformulation, hedging, qualification, or correction.",Mark the formulation as provisional and manage an ongoing self-repair or editing process.,"Required: a provisional word or phrase plus an adjacent reformulation, qualifier, hedge, or correction that makes the editing relation recoverable."
Affiliation,Pleasantness / closeness (no-incongruity branch),either,partner / shared interaction,"A positive affiliative moment, supportive action, or the relationship/closeness between the participants rather than an incongruity.","The interaction contains support, gratitude, friendliness, shared warmth, or another positively affiliative act.","Display closeness, friendliness, warmth, or positive appreciation of the partner or the shared affiliative moment.",None required: the affiliative force may come from the social action or shared moment rather than specific wording.
