function,laughable_type,definition,example,example_explanation
Show enjoyment of incongruity,Pleasant incongruity (incongruity branch),"Laughter appreciating a clash between the laughable and background information that is perceived as witty, rewarding and/or somehow pleasant (jokes, puns, goofy behaviour, conversational humour).","(Ex. 9) Lecturer: 'The other announcement erm is er Dr *** has asked me to address some delinquents, no that's not fair, some er hardworking but misguided students...' ; Audience: <laughter/>. || (Ex. 10) Lecturer: '...General Douglas MacArthur, in case you don't know, won the second world war singlehandedly.' Audience: <laughter/> ; L: 'er <laughter/> it's not funny, he believed it!'","In (9) students laugh appreciating the lecturer's joke in which they are incongruously compared to delinquents; in (10) they laugh recognising the sarcastic tone and enjoying the incongruity between what was said and what was meant, plus the impossible eventuality that one man could win a war alone."
Marking incongruity,Pleasant incongruity (incongruity branch),"Laughter used meta-communicatively to point out to the interlocutor that an incongruity is present in what is being said, rather than to display enjoyment of it; it subtly adds the laugher's own stance on the content.","(Ex. 11) John: 'there tends to be a phone call' ; Ian: 'Can you make it? we're desperate <laughter/>' ; John: 'Can you make it in half an hour's time, you know <laughter/>.'",John marks the absurdity of a client being 'desperate' for a music class and the incongruity of being asked to be at their place for a lesson within a very short time window - he flags the incongruity rather than showing enjoyment of it.
Softening / trouble-telling,Social incongruity (incongruity branch),"Laughter accompanying acts that reduce intrusion - criticism, an opinion differing from the partner's, an inconvenient answer, or talk about something painful about oneself - signalling to the interlocutor not to take the words too seriously and helping the laugher cope with the uneasy content.",(Ex. 12) (While drawing the apartment they designed) Speaker B: 'ah you didn't put anything in the bathroom <laughter/>.',"Speaker B softens the criticism addressed to her partner about his drawing, making the observation as minimally aggressive and impolite as possible."
Benevolence induction,Social incongruity (incongruity branch),"Laughter accompanying suggestions, opinions or the asking of a favour, looking for agreement and friendliness, with the aim of inducing agreement and benevolence in the interlocutor - i.e., asking the addressee not to evaluate the contribution too harshly.","(Ex. 13) Interviewer: 'Do you play in the cathedral yourself or..?' ; John: 'I have done it in the past, not recently. There have been other things <laughter>occupying me recently</laughter>.' ; Interviewer: 'Right. Yeah.'","John laughs while saying something slightly negative about himself in a job interview, inducing the interviewer not to judge the admission harshly - and also avoiding having to explain what the 'other things' were."
Smoothing,Social incongruity (incongruity branch),"Laughter used to resolve social awkwardness in general (e.g., embarrassment) or to help the flow of the conversation when a conversational partner reacts in an unexpected way; it minimizes potential social discomfort.","(Ex. 14) Interviewer: 'Right, you seem to be pretty well qualified.' ; John: 'I hope so <laughter>yes</laughter>'","The laughter smooths the response to a compliment: since it is culturally frowned upon to speak well of oneself, the little laugh helps John avoid being viewed as presumptuous and arrogant."
Show sympathy,Social incongruity (incongruity branch),"Laughter produced in RESPONSE to another's socially incongruous act (softening, benevolence induction, smoothing) - either antiphonally (laughter answering laughter of that class) or to the act itself - showing understanding of the partner's social discomfort, displaying closeness and assuring them they are not being judged for what they share.",(Ex. 15) MH: '...everybody saw was not the' ; Interv.: 'Mhm.' ; MH: 'fit strapping Heseltine which I wished' ; Interv.: 'You looked terrible.' ; MH: 'which I wished to portray.' ; Interv.: <laughter/>. || (Ex. 16) A: 'These are the stairs?? ... we are going to do this like this.... I put the staircases because I've badly drawn!' ; B: <laughter/>.,"Both laughs respond to a display of some kind of weakness by the interlocutor, showing understanding of the social discomfort expressed and assuring the partner they are not being judged."
Marking irony,Pragmatic incongruity (incongruity branch),"Laughter signalling to the interlocutor that what is about to be said, or has just been said, is not to be taken literally but should be interpreted as an ironic comment - marking an incongruity between what is said and what is meant, and masking the laugher's real opinion.",(Ex. 17) Lecturer: '...And then of course you've got Ronald Reagan ... and <laughter/> history ended with Ronald Reagan.',The professor's laughter indicates that the upcoming statement is not to be taken seriously but ironically.
Scare-quoting / invite enrichment,Pragmatic incongruity (incongruity branch),"Laughter signalling that a particular expression is being used in a way that deviates slightly from its most standard understanding, inviting the addressee to enrich/reinterpret its meaning (cf. scare-quoting).",(Ex. 18) A: 'I don't know if you can help that man or not.' ; B: 'I'll have <laughter>a word</laughter> with him Terry' ; A: '[...] Because Mr had represented him.',The laughter signals that the expression 'a word' is not to be read in its most standard sense.
Lexical uncertainty / editing phrase,Pragmatic incongruity (incongruity branch),"Laughter functioning as an editing phrase, signalling the speaker's need to reformulate, hedge or correct her/his own previous contribution (uncertainty about the lexical choice just made).","(Ex. 19) Lecturer: '...There are a whole range of things he can't do, he can't direct congress, he can't appoint who he wants freely, he can't make treaties with whom he wants when he wants, he can't start wars <laughter>if he wants to start wars</laughter>.'","The laughter is used as an editing phrase, signalling the speaker's need to reformulate and correct his previous contribution."
Affiliation,Pleasantness / closeness (no-incongruity branch),"Laughter whose laughable contains no incongruity at all (neither pleasant, social nor pragmatic), but rather a positive appreciation (pleasantness) of some action from the partner, and/or which is performed to show closeness and friendliness - e.g., while thanking or receiving a pat on the shoulder.",(Ex. 20) A: [speaking about the terrorist attack which happened during their own concert on 13 November 2015 in Paris] ; B: [pat on A's shoulder] ; A: <laughter/>.,"The laugh appreciates the partner's supportive gesture and displays closeness; it also illustrates that laughter signals a positive SHIFT in arousal, not a positive baseline emotional state."
