function_1,function_2,viability,condition,note
Show enjoyment of incongruity,Marking incongruity,workable,"Someone relays an absurd fact or demand originating elsewhere, odd enough to relish yet dubious enough that its oddity might need pointing out.",
Show enjoyment of incongruity,Softening / trouble-telling,workable,The final speaker's own remark must deliver a mild criticism or awkward admission that is simultaneously absurd enough to be enjoyed as funny.,
Show enjoyment of incongruity,Benevolence induction,workable,"The laugher's own turn asks a favour or admits something that costs them standing, while its content is itself mildly absurd and amusing.","Both readings attach to the same self-directed turn: the incongruity gives enjoyment, the social cost gives a reason to court goodwill."
Show enjoyment of incongruity,Smoothing,workable,"The final speaker is in a mildly awkward social spot whose oddness is itself amusing, so the moment both entertains and needs defusing.",
Show enjoyment of incongruity,Show sympathy,workable,"The other speaker reveals a small failure or flaw of their own with evident wit, so it is both amusing and mildly face-costing.",
Show enjoyment of incongruity,Marking irony,workable,The final speaker comments on an absurd shared situation that is genuinely funny on its face yet overstated enough to be meant oppositely.,"The clash must sit in the shared facts, not in the wording, so the remark reads as either relished absurdity or straight-faced irony."
Show enjoyment of incongruity,Scare-quoting / invite enrichment,hard,"The speaker announces their own response to a mildly absurd predicament, where their real intent is plainly stronger than any mild description allows.","Scare-quoting normally needs a visible wording trigger; here the situation must make the understatement obvious enough that a neutral phrase can carry it, while the same turn stays witty on its own."
Show enjoyment of incongruity,Lexical uncertainty / editing phrase,hard,"The laugher must be describing something with their own strained, improvised label that could equally be relished as witty or doubted as inaccurate.","Lexical uncertainty needs an audible reach-for-a-word in the speaker's own turn, and even then it loses to the funnier reading."
Show enjoyment of incongruity,Affiliation,workable,The partner's immediately preceding act must be both a warm kindness toward the laugher and mildly odd or playful in itself.,
Marking incongruity,Softening / trouble-telling,workable,"Something the addressee arranged or requested is genuinely odd, and pointing that oddity out also mildly criticises them or delivers an unwelcome answer.",
Marking incongruity,Benevolence induction,workable,"The last speaker makes a slightly unreasonable request or self-admission whose content is itself absurd, and they need the listener's goodwill.",
