function_1,function_2,viability,condition,note
Show enjoyment of incongruity,Marking incongruity,workable,"The turn must report a real state of affairs that is genuinely absurd on its face - a mismatch between how something is labelled or demanded and what it actually is, e.g. an institution, client or rule imposing something disproportionate - where the absurdity is clever enough to be relished as a found joke, yet also lands on the speaker or a third party as a small real nuisance they have a stance about, so the laugh can either savour the clash or simply flag it as 'notice how ridiculous this is'.","Both functions take the same laughable type (pleasant incongruity) and neither needs a lexical trigger, so the only requirement is that the incongruity be simultaneously enjoyable and consequential enough to warrant flagging; the main risk is that enjoyment is the default reading, so the situation should carry a faint edge of exasperation to keep the marking reading alive."
Show enjoyment of incongruity,Softening / trouble-telling,workable,"The turn must land on a real, small but genuine face-cost - the speaker admitting something mildly embarrassing about themselves, or pointing out a flaw in something the hearer made or did - where the very same fact is also objectively absurd (a mismatch of scale, a comically wrong outcome, an obvious thing overlooked) so that the laugh can plausibly be relishing the oddity of the event or blunting its sting for whoever it lands on.","Both readings attach to one event as long as it carries a stake for someone present and is incongruous on its own terms; the risk is making the mishap so trivial that there is nothing to soften, or so painful that enjoyment reads as cruelty."
Show enjoyment of incongruity,Benevolence induction,workable,"The final speaker must be putting something socially at stake with the addressee — floating a request, a proposal, or an admission that could be judged badly and would cost them (a favour owed, a slightly embarrassing confession, an awkward imposition) — while the content of that same move happens to describe a genuinely absurd or comically mismatched state of affairs (e.g. the reason they need the favour is itself ridiculous), so the laugh can either be relishing the absurdity or buying goodwill for the ask.",
Show enjoyment of incongruity,Smoothing,workable,"The turn must land on an event that is genuinely funny in its own right — a real clash between expectation and outcome that anyone would find absurd — while that same event simultaneously puts one of the two speakers in a mildly delicate social position (they are being complimented, caught boasting, exposed as incompetent, or have just received an unexpectedly blunt or over-personal reaction), so that a laugh can plausibly be either appreciation of the absurdity or a hedge against the discomfort.","Both preconditions are cheap to satisfy jointly — everyday mishaps that are comic are also usually face-threatening to whoever they happened to; the main risk is letting the absurdity get so large that the face threat disappears and only enjoyment remains, or making the awkwardness so painful that nothing is enjoyable."
Show enjoyment of incongruity,Show sympathy,workable,"The speaker just before the laugh must have recounted, about themselves, a small mishap that genuinely cost them something (a bit of money, effort, or public dignity) and whose details are objectively absurd or clever in their own right — e.g. an inventive but embarrassing failure they are half-owning and half-wincing at — so that the listener's laugh can land either on the absurdity as an entertaining bit of comedy or on the teller's exposed discomfort as reassurance.","Both preconditions coexist naturally in self-deprecating mishap stories, as long as the cost is real enough to sympathise with but the incongruity is funny independently of the teller's plight."
Show enjoyment of incongruity,Marking irony,hard,"Both speakers must be looking at the same plainly absurd, mildly pleasant state of affairs (an overblown result, a mismatch between effort and outcome, a ridiculous rule or gadget), and the person who laughs must be the one delivering the final turn about it, describing that state in terms that everyone present can already see are not how things actually are - so the laugh can either relish the absurdity as a shared amusing fact or flag the speaker's own description as not meant straight.","Irony marking normally needs a say/mean trigger in the wording, which is barred here; the mismatch has to be carried entirely by mutually visible facts, and the incongruity must stay light and rewarding rather than costly, or the laugh drifts towards sympathy or self-deprecation instead."
Show enjoyment of incongruity,Scare-quoting / invite enrichment,hard,"The situation must involve a shared, already-known event or plan whose actual scale or nature comically overshoots the bland everyday category the speaker is invoking for it - e.g. an interlocutor knows the 'quick chat', 'small favour' or 'tidy-up' at issue is in fact something far bigger, more confrontational or more absurd - so that the same gap between the mundane label and the real facts can be either savoured as a witty mismatch or flagged as a term the hearer must actively reinterpret, with nobody incurring a real cost that would pull the moment towards sympathy or embarrassment.","Scare-quoting needs a recoverably non-literal expression, but the very recoverability of that mismatch is also what makes it funny, so the two readings sit almost on top of each other on the incongruity branch; they can only be separated by laughter that is either full and appreciative (enjoyment) or short, clipped and mid-phrase (enrichment), and the situation must supply the real facts through shared background rather than through any repair or hedge in the words."
Show enjoyment of incongruity,Lexical uncertainty / editing phrase,hard,"The speaker must be describing, on the spot, something that genuinely has no ready label \u2014 an odd hybrid object, an ambiguous role or job, a relationship or situation that falls between standard categories \u2014 so that the term they land on is at once a comically overblown but apt fit and a possibly wrong stopgap they may have to take back, with the stakes low enough that being imprecise costs them nothing but accuracy.","Both readings hang on the same cue \u2014 a marked, category-straining word choice \u2014 which is a property of the wording, so the transcript cannot be fully neutral between them; and where a term is odd enough to be revisable it is usually also funny, so listeners default to enjoyment of incongruity and the editing-phrase reading loses out."
Show enjoyment of incongruity,Affiliation,workable,"The partner must, in the moment just before the laugh, do one thing that is simultaneously a real kindness to the laugher who is in some small bind (covering their bill, lending a coat, taking on their shift) and slightly out of proportion or oddly staged about it — an over-the-top flourish, a mock-heroic manner, a comically excessive version of the favour — so that the same laugh can land either on the mismatch between the scale of the trouble and the scale of the gesture or on the warmth of being helped.","Both preconditions are ordinary and co-occur naturally; the only risk is letting the gesture become so absurd that it stops reading as sincere help, which would kill the affiliation reading."
Marking incongruity,Softening / trouble-telling,workable,"The final turn must report a concrete state of affairs that is at once plainly out of proportion or norm-violating (an absurd demand, deadline, price, rule, or mismatch that any bystander would flag) and awkward for someone actually in the room — because the addressee arranged or endorsed it, or because it exposes a small failure or discomfort of the speaker's own — so the same fact simultaneously offers an absurdity worth pointing at and a face-threat worth cushioning.","Both are incongruity-branch functions and can co-occur naturally; the main risk is that if the absurd arrangement belongs to an absent third party there is no face at stake and the softening reading dies, while if the awkwardness is purely personal and not disproportionate there is nothing incongruous to flag."
